Dataset order,Species_I. setosa,Species_I. versicolor,Species_I. virginica,Petal width_Medium,Petal width_Thick,Petal width_Thin,Petal length_Long,Petal length_Medium,Petal length_Short,Sepal width_Medium,Sepal width_Narrow,Sepal width_Wide,Sepal Length_Long,Sepal Length_Medium,Sepal Length_Short
122,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
123,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0
124,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
125,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0
126,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
127,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
128,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
129,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0
130,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
131,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0
132,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0
133,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0
134,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
135,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
136,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
137,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0
138,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
139,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
140,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
141,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
142,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
143,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
144,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
145,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0
146,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
147,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
148,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
149,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0
150,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
